50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7cd0491f-2d32-4091-ae9f-5d1b23ce724a,1,,,3754066,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 42}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1a212dff-0e97-4898-b28e-66f0b55f32a9,2,,,3754066,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3339, 'name': 'Asmir Begović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 20287, 'name': 'John Terry'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 28100, 'name': 'Ramires Santos do Nascimento'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c56d72f9-85ba-41f0-a2f2-3c299435ca1c,3,,,3754066,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['51794e38-d44a-498c-9116-c2c0663c0cd6'],0,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,51794e38-d44a-498c-9116-c2c0663c0cd6,4,,,3754066,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['c56d72f9-85ba-41f0-a2f2-3c299435ca1c'],0,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e3977f51-0e38-4d49-98f2-73e14c3b02d0,1726,,,3754066,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,Chelsea,33,['4cd830c3-f216-4487-b023-47d177411d0e'],0,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4cd830c3-f216-4487-b023-47d177411d0e,1727,,,3754066,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,Chelsea,33,['e3977f51-0e38-4d49-98f2-73e14c3b02d0'],0,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.568864,,,,,,,,,,,5639c8f3-4a18-4b61-ac24-743ecdc3f2a9,5,,"[61.0, 40.1]",3754066,0,,,,,1.849096,,Right Foot,,,"[60.2, 42.9]",,Ground Pass,2.912044,,,,,Willian Borges da Silva,,,,,Kick Off,1,From Kick Off,Diego da Silva Costa,5198.0,Center Forward,2,Chelsea,33,['d2e8bad3-8f73-4ec4-a30b-c77f4d4ddac9'],0,,,,,,,,,,,,,,,Chelsea,33,00:00:00.966,Pass,
,,,,,,,,,,,,,,,,,2.014098,,,,,,,,,,,0c3c8bbe-7bd4-4d1d-95d5-3bd364990f2e,8,,"[60.8, 44.5]",3754066,0,,,,,-2.5870283,,Right Foot,,,"[34.0, 27.9]",,Ground Pass,31.524593,,,,,John Terry,,,,,,1,From Kick Off,Willian Borges da Silva,3472.0,Center Attacking Midfield,2,Chelsea,33,['a20b98aa-7e08-4efb-942f-123e0714f254'],1,,,,,,,,,,,,,,,Chelsea,33,00:00:01.929,Pass,
,,,,,,,,,,,,,,,,,2.473656,,,,,,,,,,,edd6b95a-1303-40af-bd23-a8aa58d648c7,11,,"[28.5, 27.5]",3754066,0,,,,,2.4475148,,Right Foot,,,"[13.6, 39.9]",,Ground Pass,19.384789,,,,,Asmir Begović,,,,,,1,From Kick Off,John Terry,20287.0,Left Center Back,2,Chelsea,33,['547627e9-c16e-4ead-9cfc-7dc331d23f1c'],5,,,,,,,,,,,,,,,Chelsea,33,00:00:05.208,Pass,
,,,,,,,,,,,,,,,,,3.263395,,,,,,,,,,,d9cb882d-f77a-49a0-88c1-364bcedc0f7a,14,,"[13.6, 39.9]",3754066,0,,,,,0.33480465,,Right Foot,,,"[70.8, 59.8]",,High Pass,60.56278,,,,,Ramires Santos do Nascimento,,,,,,1,From Kick Off,Asmir Begović,3339.0,Goalkeeper,2,Chelsea,33,['954c8997-d9ea-45e5-8c99-559266552835'],8,,,,,,,,,,,,,,,Chelsea,33,00:00:08.861,Pass,
