50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,616b55ba-b9f6-434b-8c76-be7e1c425a74,1,,,3754112,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 9467, 'name': 'Timothy Michael Krul'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 4840, 'name': 'Massadio Haïdara'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 42899, 'name': 'Gabriel Antoine Obertan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 30289, 'name': 'Papiss Demba Cissé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,10b3a995-bc2f-41ab-bcc5-750b3ab9dab1,2,,,3754112,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3685, 'name': 'Jay Rodriguez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,33290862-46ca-4123-845e-5f5094a13a86,3,,,3754112,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['8099ece7-13db-4802-9a9e-21d50dabeb66'],0,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8099ece7-13db-4802-9a9e-21d50dabeb66,4,,,3754112,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['33290862-46ca-4123-845e-5f5094a13a86'],0,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c2588e37-1edb-45af-9ea7-9042c2993b57,1645,,,3754112,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Southampton,25,['8ee4d0a4-3e53-4a12-8c33-175d4301b031'],0,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8ee4d0a4-3e53-4a12-8c33-175d4301b031,1646,,,3754112,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Southampton,25,['c2588e37-1edb-45af-9ea7-9042c2993b57'],0,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.89367,,,,,,,,,,,,a610030e-d2c7-4ca9-81ef-12fe87a22bf1,5,,"[60.0, 40.0]",3754112,0,True,,,-2.5255413,,Right Foot,,,"[48.7, 32.0]",,Ground Pass,,13.845216,,,,,Steven Davis,,,,,Kick Off,1,From Kick Off,Sadio Mané,3629.0,Center Attacking Midfield,2,Southampton,25,['44fe0717-3920-4f6f-ac14-f1e4cff6d775'],0,,,,,,,,,,,,,,,Southampton,25,00:00:00.545,Pass,
,,,,,,,,,,,,,,,,2.250345,,,,,,,,,,,,7331bec4-26bf-4d49-b7ca-542b40b419f9,7,,"[49.0, 31.0]",3754112,0,,,,-2.6317594,,Right Foot,,,"[30.4, 20.6]",,Ground Pass,,21.310091,,,,,Maya Yoshida,,,,,,1,From Kick Off,Steven Davis,3828.0,Right Center Midfield,2,Southampton,25,['4788060d-2984-4e84-b5fc-b45b4899c447'],1,,,,,,,,,,,,,,,Southampton,25,00:00:01.821,Pass,
,,,,,,,,,,,,,,,,3.633845,,,,,,,,,,,,f06d01bf-9456-4e0b-867f-18a064ee75c0,9,,"[30.4, 20.6]",3754112,0,,,,0.65967894,,Left Foot,,,"[81.2, 60.0]",,High Pass,,64.288414,,,Incomplete,,Dušan Tadić,,,,,,1,From Kick Off,Maya Yoshida,3300.0,Left Center Back,2,Southampton,25,"['1c1a5de4-5b09-42c4-8dc4-9c16cefd117c', 'c6e90f32-146e-4260-9ad9-bd861a598d83']",4,,,,,,,,,,,,,,,Southampton,25,00:00:04.072,Pass,
,,,,,,,,,,,,,,,,1.616876,,,,,,,,,,,,c9213527-67fd-48c0-bc6c-3eef6cfc3719,12,,"[37.2, 3.7]",3754112,0,,,,0.2414984,,Left Foot,,,"[57.5, 8.7]",,Low Pass,,20.906698,,,,,Papiss Demba Cissé,,,,,Recovery,1,From Kick Off,Gabriel Antoine Obertan,42899.0,Left Wing,2,Southampton,25,['acfaa9cc-f727-457a-a41a-cc40f0843f20'],10,,,,,,,,,,,,,,,Newcastle United,37,00:00:10.817,Pass,
